customer_id,first_name,last_name,date_of_birth,region,segment,join_date
CUST00001,Ruth,Griffiths,1990-12-24,South East,Mass Market,2021-03-11
CUST00002,Duncan,Wilson,1990-08-20,Wales,Mass Market,2018-04-04
CUST00003,Sian,Cox,1977-08-18,North West,Mass Affluent,2017-12-29
CUST00004,Marie,Oliver,1942-07-18,South East,Mass Affluent,2018-02-09
CUST00005,Charlie,Barnes,1981-06-26,London,Mass Market,2016-12-18
CUST00006,Chelsea,Ryan,1984-09-27,Scotland,Mass Market,2025-10-14
CUST00007,Samantha,Quinn,1980-08-13,London,Mass Affluent,2021-03-31
CUST00008,Thomas,Reed,1951-05-20,West Midlands,Mass Market,2023-09-15
CUST00009,Maurice,White,1955-03-03,Wales,Premier,2022-03-29
CUST00010,Timothy,Green,1947-02-05,London,Premier,2022-08-15
CUST00011,Leigh,Butler,1995-06-11,North West,Mass Affluent,2017-04-02
CUST00012,Kelly,Wilkinson,2006-09-26,Yorkshire,Mass Market,2022-12-15
CUST00013,Jason,Fisher,1996-12-15,Scotland,Student,2022-09-01
CUST00014,Melissa,Lucas,1945-04-01,Yorkshire,Mass Market,2017-04-17
CUST00015,Irene,Wilson,1960-03-17,West Midlands,Mass Market,2017-11-14
CUST00016,Donald,Taylor,1966-05-21,Yorkshire,Mass Affluent,2021-03-30
CUST00017,Sandra,Woods,1965-05-05,London,Mass Affluent,2019-04-13
CUST00018,Lauren,Evans,1986-02-14,South East,Student,2021-01-20
CUST00019,Rita,Cross,1984-08-13,West Midlands,Mass Market,2017-09-23
CUST00020,Tina,Thomson,1976-11-12,Wales,Premier,2020-09-05
CUST00021,Ben,Hall,1958-11-20,Yorkshire,Mass Affluent,2025-12-27
CUST00022,Gerald,Richardson,1997-11-15,South East,Mass Market,2017-06-19
CUST00023,Bernard,Fuller,1995-04-20,Scotland,Premier,2021-11-18
CUST00024,Joanne,Phillips,1954-11-16,South East,Student,2026-03-01
CUST00025,Guy,Kelly,1974-06-28,South East,Mass Market,2023-03-31
CUST00026,Carly,Hale,1958-07-17,East of England,Mass Affluent,2018-11-21
CUST00027,Louis,Morris,1977-03-12,Yorkshire,Mass Market,2020-12-25
CUST00028,Fiona,Rowe,1980-03-23,Yorkshire,Mass Market,2023-04-23
CUST00029,Linda,Lloyd,2008-05-25,Wales,Mass Affluent,2018-11-13
CUST00030,Natasha,Hughes,1991-12-13,South East,Mass Affluent,2017-04-25
CUST00031,Jamie,Gould,1951-05-28,North West,Mass Affluent,2023-09-12
CUST00032,Jodie,Collins,1966-06-27,Scotland,Mass Market,2024-06-23
CUST00033,Debra,Smith,1978-03-01,West Midlands,Mass Market,2016-09-16
CUST00034,Gail,Atkinson,1986-11-28,Scotland,Mass Affluent,2025-08-25
CUST00035,Vincent,Read,1963-09-01,London,Mass Market,2018-05-31
CUST00036,Billy,Williams,1971-05-24,London,Premier,2016-07-27
CUST00037,Marcus,Page,1992-05-14,West Midlands,Mass Market,2019-07-22
CUST00038,Kathleen,Walker,1999-10-03,Scotland,Student,2021-08-04
CUST00039,Ruth,Buckley,1954-01-19,Yorkshire,Mass Market,2019-02-11
CUST00040,Karen,Carter,1977-03-22,East of England,Mass Market,2025-07-15
CUST00041,David,Anderson,1973-10-07,East of England,Mass Market,2016-11-05
CUST00042,Nathan,Murray,2000-04-24,North West,Mass Market,2021-09-29
CUST00043,Shane,Tomlinson,2000-04-07,Wales,Mass Affluent,2026-03-02
CUST00044,Jason,Cunningham,1973-08-03,West Midlands,Student,2017-09-10
CUST00045,Stacey,Miller,1949-04-03,West Midlands,Mass Market,2024-08-07
CUST00046,Georgina,O'Brien,1976-06-04,North West,Mass Affluent,2023-09-18
CUST00047,Phillip,Murray,1991-11-30,South East,Premier,2019-12-08
CUST00048,Graeme,Matthews,1986-03-23,South East,Mass Market,2022-11-13
CUST00049,Jennifer,Lyons,1971-03-29,North West,Premier,2018-07-28
